Code,Name,Type,Latitude,Longitude,Sector,State,Childbirths 2012,Childbirths 2013,Childbirths 2014,Childbirths 2015,Childbirths 2016,Childbirths 2017,Childbirths 2018,Childbirths 2019,Childbirths 2020,Childbirths 2021,Childbirths total
H0052,Blacktown Hospital,Hospital,-33.775552,150.917537,Public,New South Wales,3043,3083,3038,3074,3208,3310,3560,3860,3983,3824,33983
H0053,Mount Druitt Hospital,Hospital,-33.765929,150.829646,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0054,Westmead Hospital,Hospital,-33.804362,150.987811,Public,New South Wales,5218,5288,5403,5485,5560,5642,5472,5203,5119,5033,53423
H0055,Blue Mountains Hospital,Hospital,-33.705329,150.32111,Public,New South Wales,215,226,239,255,246,216,210,196,181,195,2179
H0056,Nepean Hospital,Hospital,-33.759865,150.712627,Public,New South Wales,3656,3690,3763,3860,3996,3986,3939,3956,3903,3819,38568
H0057,Springwood Hospital,Hospital,-33.690486,150.571129,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0058,Hawkesbury Hospital,Hospital,-33.610712,150.820804,Public,New South Wales,820,792,815,1167,1443,1071,726,723,742,812,9111
H0059,"Tresillian Family Care Centre, Kingswood",Hospital,-33.758161,150.714392,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0060,Wentworth Psychiatric Services,Hospital,-33.760249,150.712613,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0061,Lithgow Hospital,Hospital,-33.498751,150.127701,Public,New South Wales,189,205,222,214,199,192,173,158,153,153,1858
H0062,Portland Tabulam Health Centre,Hospital,-33.358415,149.978565,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0063,Greenwich Hospital,Hospital,-33.827329,151.183376,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0064,Neringah Hospital,Hospital,-33.717856,151.114556,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0065,Hornsby Ku-ring-gai Hospital,Hospital,-33.701448,151.112941,Public,New South Wales,1200,1177,1170,1182,1181,1213,1211,1190,1185,1086,11795
H0067,Mona Vale Hospital,Hospital,-33.685353,151.306618,Public,New South Wales,202,513,626,683,754,727,453,112,0,0,4070
H0068,Royal North Shore Hospital,Hospital,-33.821312,151.189735,Public,New South Wales,2425,2533,2645,2746,2860,2786,2726,2735,2659,2566,26681
H0069,Royal Rehabilitation Hospital,Hospital,-33.821772,151.107845,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0070,Ryde Hospital,Hospital,-33.795482,151.089756,Public,New South Wales,128,123,125,120,108,96,80,55,18,0,853
H0071,Gosford Hospital,Hospital,-33.419451,151.340328,Public,New South Wales,2506,2570,2673,2734,2749,2821,2915,2936,3076,3212,28192
H0072,Woy Woy Hospital,Hospital,-33.496716,151.320952,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0073,Long Jetty Health Care Centre,Hospital,-33.369012,151.468538,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0074,Wyong Hospital,Hospital,-33.261113,151.480761,Public,New South Wales,164,156,153,145,127,102,87,68,29,0,1031
H0075,Armidale Hospital,Hospital,-30.512726,151.655629,Public,New South Wales,442,469,453,424,421,403,410,423,415,443,4303
H0076,Barraba Multi Purpose Service,Hospital,-30.382482,150.605778,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0077,Bingara Multi Purpose Service,Hospital,-29.864055,150.579235,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0078,Boggabri Multi Purpose Service,Hospital,-30.711502,150.040014,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0079,Glen Innes Hospital,Hospital,-29.733293,151.731673,Public,New South Wales,73,64,63,64,64,49,39,55,56,42,569
H0080,Gunnedah Hospital,Hospital,-30.983146,150.251339,Public,New South Wales,203,183,175,171,154,159,165,154,146,112,1622
H0081,Guyra Multi Purpose Service,Hospital,-30.213889,151.679112,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0082,Inverell Hospital,Hospital,-29.770728,151.130139,Public,New South Wales,272,278,253,242,246,235,227,220,208,208,2389
H0083,Manilla Hospital,Hospital,-30.745717,150.732249,Public,New South Wales,2,2,0,0,0,0,0,0,0,0,4
H0084,Moree Hospital,Hospital,-29.470678,149.839648,Public,New South Wales,194,189,186,184,187,170,151,136,136,140,1673
H0085,Narrabri Hospital,Hospital,-30.325869,149.777108,Public,New South Wales,138,159,150,124,112,103,86,77,86,88,1123
H0086,Tenterfield Hospital,Hospital,-29.045083,152.013552,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0087,Quirindi Hospital,Hospital,-31.500345,150.676621,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0088,Tamworth Hospital,Hospital,-31.074079,150.924199,Public,New South Wales,897,962,967,985,1011,1004,1004,1012,1062,1135,10039
H0089,Tingha Multi Purpose Service,Hospital,-29.950779,151.206732,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0090,Vegetable Creek Multi Purpose Service Emmaville,Hospital,-29.450547,151.599204,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0091,Walcha Multi Purpose Service,Hospital,-30.987818,151.591415,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0092,Warialda Multi Purpose Service,Hospital,-29.538835,150.579567,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0093,Wee Waa Hospital,Hospital,-30.225439,149.448287,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0094,Werris Creek Hospital,Hospital,-31.346691,150.652513,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0095,Bulahdelah Hospital,Hospital,-32.403949,152.210029,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0096,Gloucester Soldiers' Memorial Hospital,Hospital,-32.014787,151.958556,Public,New South Wales,14,16,16,13,8,6,2,0,0,0,75
H0097,Manning Hospital,Hospital,-31.910418,152.454485,Public,New South Wales,713,668,701,698,653,623,607,631,643,637,6574
H0098,Wingham Hospital,Hospital,-31.878104,152.365179,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0099,Cessnock Hospital,Hospital,-32.827754,151.348396,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0100,Dungog Hospital,Hospital,-32.401948,151.746157,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0101,Kurri Kurri Hospital,Hospital,-32.825017,151.463018,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0102,Maitland Hospital,Hospital,-32.726723,151.545887,Public,New South Wales,1660,1605,1600,1520,1462,1461,1517,1645,1769,1880,16119
H0103,Merriwa Multi Purpose Service,Hospital,-32.142714,150.361316,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0104,Muswellbrook Hospital,Hospital,-32.264545,150.900263,Public,New South Wales,205,185,196,196,179,139,97,83,67,39,1386
H0105,Denman Multi Purpose Service,Hospital,-32.389483,150.684453,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0106,Calvary Mater Newcastle,Hospital,-32.899371,151.720858,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0107,Belmont Hospital,Hospital,-33.024631,151.648181,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0108,"Scott Memorial Hospital, Scone",Hospital,-32.051525,150.876864,Public,New South Wales,71,64,47,37,39,38,46,46,36,36,460
H0109,Singleton Hospital,Hospital,-32.567087,151.185736,Public,New South Wales,139,125,131,150,144,124,121,120,121,133,1308
H0110,"Wilson Memorial Community Hospital, Murrurundi",Hospital,-31.770408,150.834764,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0111,Tomaree Community Hospital,Hospital,-32.720053,152.158858,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0112,John Hunter Hospital,Hospital,-32.922177,151.692438,Public,New South Wales,4240,4128,4044,4109,4092,4170,4206,4035,4085,4252,41361
H0113,Ballina District Hospital,Hospital,-28.863525,153.564013,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0116,Casino and District Memorial Hospital,Hospital,-28.859839,153.035827,Public,New South Wales,38,15,0,0,0,0,0,0,0,0,53
H0117,Bonalbo Hospital,Hospital,-28.733777,152.622789,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0118,Grafton Base Hospital,Hospital,-29.674807,152.941274,Public,New South Wales,455,451,415,415,415,378,379,385,375,392,4060
H0119,Kyogle Multi Purpose Service,Hospital,-28.627124,153.001742,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0120,Lismore Base Hospital,Hospital,-28.809191,153.291045,Public,New South Wales,1259,1200,1161,1147,1139,1150,1184,1204,1251,1314,12009
H0121,Nimbin Multi Purpose Service,Hospital,-28.597371,153.223185,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0122,Maclean District Hospital,Hospital,-29.454219,153.201094,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0124,Murwillumbah District Hospital,Hospital,-28.323417,153.400811,Public,New South Wales,181,170,140,101,66,58,55,51,52,40,914
H0125,The Tweed Hospital,Hospital,-28.177216,153.545458,Public,New South Wales,1525,1466,1326,1296,1240,1142,1135,1088,1054,995,12267
H0126,Urbenville Multi Purpose Service,Hospital,-28.471511,152.543029,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0127,Riverlands Drug and Alcohol Centre,Hospital,-28.80834,153.29112,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0128,Bellinger River District Hospital,Hospital,-30.457256,152.893209,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0129,Coffs Harbour Hospital,Hospital,-30.317579,153.093667,Public,New South Wales,1078,1053,1043,1070,1075,1072,1072,1075,1072,1073,10683
H0130,Dorrigo Multi Purpose Service,Hospital,-30.340625,152.713882,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0131,Kempsey District Hospital,Hospital,-31.067841,152.820038,Public,New South Wales,270,257,259,262,254,254,257,239,230,245,2527
H0132,Macksville District Hospital,Hospital,-30.713725,152.919838,Public,New South Wales,60,59,48,44,58,55,42,40,39,35,480
H0133,Wauchope District Memorial Hospital,Hospital,-31.457239,152.728131,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0134,Port Macquarie Base Hospital,Hospital,-31.452336,152.878304,Public,New South Wales,817,783,765,785,770,760,769,776,835,884,7944
H0135,Batemans Bay Hospital,Hospital,-35.714055,150.182375,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0136,South East Regional Hospital,Hospital,-36.68905,149.858549,Public,New South Wales,228,227,228,225,243,260,243,243,244,260,2401
H0137,Bombala Multi Purpose Service,Hospital,-36.917513,149.235372,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0138,Braidwood Multi Purpose Service,Hospital,-35.443216,149.805302,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0139,Cooma Hospital and Health Service,Hospital,-36.241389,149.130499,Public,New South Wales,170,161,154,148,140,141,145,140,139,127,1465
H0140,Crookwell District Hospital,Hospital,-34.464222,149.467427,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0141,Delegate Multi Purpose Service,Hospital,-37.04496,148.945958,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0142,Goulburn Base Hospital,Hospital,-34.747527,149.712806,Public,New South Wales,317,294,284,291,288,273,284,304,299,295,2929
H0143,Moruya Hospital,Hospital,-35.904137,150.070774,Public,New South Wales,308,300,289,295,302,301,302,317,322,321,3057
H0144,Pambula Hospital,Hospital,-36.926316,149.879232,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0145,Queanbeyan Hospital,Hospital,-35.347685,149.232294,Public,New South Wales,409,432,417,419,454,513,547,539,524,536,4790
H0146,Bourke Street Health Service,Hospital,-34.748721,149.719321,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0147,Yass District Hospital,Hospital,-34.844072,148.906427,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0149,Lake Cargelligo Multi Purpose Service,Hospital,-33.292027,146.374304,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0150,Wyalong Hospital,Hospital,-33.916373,147.196483,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0151,Barham Hospital,Hospital,-35.623823,144.133479,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0152,Berrigan Multi Purpose Service,Hospital,-35.662312,145.813035,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0153,Culcairn Multi Purpose Service,Hospital,-35.667399,147.042104,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0154,Corowa Health Service,Hospital,-35.993528,146.383541,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0155,Deniliquin Hospital,Hospital,-35.524044,144.963301,Public,New South Wales,91,105,123,113,91,96,96,79,83,88,965
H0156,Finley Hospital,Hospital,-35.641725,145.568139,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0157,Henty Multi Purpose Service,Hospital,-35.515801,147.031847,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0158,Holbrook Hospital,Hospital,-35.723991,147.320276,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0159,Jerilderie Multi Purpose Service,Hospital,-35.356628,145.720596,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0160,Mercy Care Hospital - Albury,Hospital,-36.069221,146.916764,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0161,Urana Multi Purpose Service,Hospital,-35.325419,146.267316,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0162,Tocumwal Hospital,Hospital,-35.815407,145.568996,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0163,Tumbarumba Multi Purpose Service,Hospital,-35.778706,148.006203,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0164,Boorowa Multi Purpose Service,Hospital,-34.442822,148.727073,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0165,Mercy Care Hospital - Young,Hospital,-34.321003,148.288693,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0166,Murrumburrah-Harden Hospital,Hospital,-34.555254,148.360186,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0167,Young Hospital,Hospital,-34.320383,148.288457,Public,New South Wales,178,172,142,133,145,154,149,138,132,119,1462
H0168,Batlow/Adelong Multi Purpose Service,Hospital,-35.521951,148.147891,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0169,Griffith Base Hospital,Hospital,-34.282121,146.043774,Public,New South Wales,475,484,483,485,527,526,506,507,520,507,5020
H0170,Gundagai Hospital,Hospital,-35.051394,148.101764,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0171,Hay Hospital,Hospital,-34.500349,144.851433,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0172,Hillston Hospital,Hospital,-33.478793,145.539032,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0173,Junee Multi Purpose Service,Hospital,-34.866914,147.581314,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0174,Coolamon-Ganmain Multi Purpose Service,Hospital,-34.819885,147.199329,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0175,Leeton Hospital,Hospital,-34.545222,146.408831,Public,New South Wales,96,84,91,90,42,11,17,18,16,11,476
H0176,Lockhart Hospital,Hospital,-35.222378,146.719064,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0177,Narrandera Hospital,Hospital,-34.743181,146.547661,Public,New South Wales,7,3,3,0,0,0,0,0,0,0,13
H0178,Temora Hospital,Hospital,-34.443942,147.542616,Public,New South Wales,95,101,90,81,80,72,65,59,51,47,741
H0179,Tumut Hospital,Hospital,-35.307265,148.219552,Public,New South Wales,113,110,107,84,72,69,44,23,31,31,684
H0180,Wagga Wagga Hospital,Hospital,-35.118083,147.356915,Public,New South Wales,719,764,825,881,971,1068,1152,1212,1267,1357,10216
H0181,Cootamundra Hospital,Hospital,-34.634386,148.012796,Public,New South Wales,58,57,58,63,54,53,58,53,50,40,544
H0182,Bourke Multi Purpose Service,Hospital,-30.092823,145.947983,Public,New South Wales,3,7,3,0,0,0,0,0,0,0,13
H0183,Brewarrina Multi Purpose Service,Hospital,-29.961627,146.863796,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0184,Cobar Health Service,Hospital,-31.509026,145.825266,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0185,Collarenebri Multi Purpose Service,Hospital,-29.544889,148.581901,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0186,Coolah Multi Purpose Service,Hospital,-31.821473,149.710049,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0187,Coonabarabran Health Service,Hospital,-31.274791,149.284779,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0188,Baradine Multi Purpose Service,Hospital,-30.945316,149.066189,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0189,Coonamble Multi Purpose Service,Hospital,-30.964803,148.387527,Public,New South Wales,3,0,0,0,0,0,0,0,0,0,3
H0190,Gulargambone Multi Purpose Service,Hospital,-31.329812,148.469216,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0191,Dubbo Hospital,Hospital,-32.239339,148.620772,Public,New South Wales,1221,1213,1180,1182,1210,1222,1231,1231,1263,1320,12273
H0192,Dunedoo Multi Purpose Service,Hospital,-32.017204,149.397366,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0193,Gilgandra Multi Purpose Service,Hospital,-31.704565,148.664889,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0194,Gulgong Multi Purpose Service,Hospital,-32.366871,149.521893,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0195,Mudgee Health Service,Hospital,-32.603229,149.588179,Public,New South Wales,258,248,246,247,228,233,228,221,237,260,2406
H0196,Narromine Health Service,Hospital,-32.24261,148.239201,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0197,Nyngan Multi Purpose Service,Hospital,-31.560024,147.208772,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0198,Trangie Multi Purpose Service,Hospital,-32.030813,147.976355,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0199,Walgett Multipurpose Service,Hospital,-30.030646,148.115959,Public,New South Wales,2,0,0,0,2,2,0,0,0,0,6
H0200,Warren Multi Purpose Service,Hospital,-31.693958,147.835679,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0201,Wellington Health Service,Hospital,-32.549741,148.951977,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0202,Lightning Ridge Multi Purpose Service,Hospital,-29.429973,147.981869,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0203,Lourdes Hospital Dubbo,Hospital,-32.238511,148.627361,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0204,Bathurst Base Hospital,Hospital,-33.406512,149.572699,Public,New South Wales,531,528,540,527,492,492,495,472,467,493,5037
H0205,Blayney Multi Purpose Service,Hospital,-33.537728,149.248988,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0206,Canowindra Soldiers Memorial Hospital,Hospital,-33.557204,148.676576,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0207,Condobolin Health Service,Hospital,-33.082332,147.154161,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0208,Cowra Health Service,Hospital,-33.832137,148.692376,Public,New South Wales,156,157,140,136,135,133,135,128,136,148,1404
H0209,Eugowra Memorial Multipurpose Service,Hospital,-33.424421,148.366799,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0210,Lachlan Health Service - Forbes,Hospital,-33.396281,148.013831,Public,New South Wales,155,169,173,166,159,153,141,181,227,215,1739
H0211,Grenfell Multi Purpose Service,Hospital,-33.894286,148.167843,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0212,Molong Health Service,Hospital,-33.087622,148.859724,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0213,Oberon Multi Purpose Service,Hospital,-33.705249,149.853596,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0214,Orange Health Service,Hospital,-33.317316,149.093953,Public,New South Wales,980,1019,985,1012,1035,974,990,988,1015,1110,10108
H0215,Lachlan Health Service - Parkes,Hospital,-33.151507,148.169757,Public,New South Wales,156,153,130,124,133,126,121,57,0,0,1000
H0216,Peak Hill Multipurpose Service,Hospital,-32.735907,148.199615,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0217,Trundle Multi Purpose Health Service,Hospital,-32.921078,147.704315,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0218,Rylstone Multi Purpose Service,Hospital,-32.804085,149.975652,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0219,Tottenham Multipurpose Service,Hospital,-32.242711,147.358031,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0220,Tullamore Multi Purpose Health Service,Hospital,-32.635114,147.568997,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0221,Balranald Multi Purpose Service,Hospital,-34.644549,143.568413,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0222,Wentworth Hospital,Hospital,-34.109983,141.922481,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0223,Broken Hill Hospital,Hospital,-31.947609,141.454703,Public,New South Wales,244,225,216,227,228,204,189,197,191,195,2116
H0224,Wilcannia Multi Purpose Service,Hospital,-31.557638,143.385336,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0225,Thomas Walker Hospital,Hospital,-33.832336,151.097897,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0226,Cumberland Hospital,Hospital,-33.80159,150.995246,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0227,Macquarie Hospital,Hospital,-33.802312,151.124818,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0228,Coral Tree Family Centre,Hospital,-33.804256,151.126212,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
